building_floor,WAP139,WAP138,WAP087,WAP501,WAP481,WAP096,WAP097,WAP495,WAP496,WAP144,WAP145,WAP516,WAP066,WAP118,WAP065,WAP502,WAP117,WAP122,WAP517,WAP132,WAP121,WAP131,WAP203,WAP204,WAP070,WAP047,WAP052,WAP051,WAP078,WAP156,WAP048,WAP059,WAP069,WAP080,WAP013,WAP155,WAP081,WAP077,WAP014,WAP098,WAP161,WAP162,WAP099,WAP489,WAP063,WAP011,WAP043,WAP044,WAP143,WAP064
B0_F0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-101.7922568460812,-101.58545797922568,-110.0,-93.85457979225684,-109.54202077431539,-110.0,-110.0,-87.44853635505194,-101.91784702549575,-93.71671388101983,-87.47308781869688,-110.0,-101.73087818696884,-110.0,-95.37677053824362,-95.10481586402267,-110.0,-110.0,-110.0,-110.0,-109.71482530689329,-109.7695939565628,-110.0,-110.0
B0_F1,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-106.94911504424779,-100.55825958702064,-99.61725663716814,-110.0,-86.8023598820059,-106.68805309734513,-110.0,-110.0,-98.52507374631269,-101.64970501474926,-87.44616519174042,-98.58923303834808,-110.0,-101.81637168141593,-110.0,-87.6688790560472,-87.9594395280236,-110.0,-110.0,-110.0,-110.0,-108.83333333333333,-108.37020648967551,-106.03392330383481,-110.0
B0_F2,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-97.88911988911988,-94.38530838530839,-94.55232155232156,-110.0,-95.76992376992376,-97.8967428967429,-110.0,-110.0,-109.11018711018711,-97.16146916146916,-96.05336105336106,-108.62577962577963,-110.0,-97.23977823977825,-110.0,-95.34303534303534,-95.87872487872488,-110.0,-110.0,-110.0,-110.0,-98.56548856548856,-98.06306306306307,-98.25502425502425,-110.0
B0_F3,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-87.27534148094895,-86.55355859094176,-86.4687275341481,-110.0,-100.25233644859813,-87.66498921639109,-110.0,-110.0,-109.79439252336448,-86.03306973400431,-100.26168224299066,-109.89144500359454,-110.0,-86.6038820992092,-110.0,-101.93673616103523,-102.33788641265276,-110.0,-110.0,-110.0,-110.0,-89.44787922358016,-89.67002156721783,-89.38533429187635,-110.0
B1_F0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-109.6483918128655,-110.0,-109.67543859649123,-109.74488304093568,-109.88230994152046,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-109.97076023391813,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0
B1_F1,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-109.98584905660377,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-109.9878706199461,-110.0,-109.81266846361186,-109.98652291105121,-109.45754716981132,-110.0,-110.0,-110.0,-110.0,-109.90296495956873,-109.90700808625337,-109.77897574123989,-109.2722371967655,-110.0,-110.0,-110.0,-110.0,-110.0,-109.40161725067385,-110.0,-109.68059299191374,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-109.75202156334232,-109.91981132075472,-109.93530997304582,-109.08692722371967,-110.0
B1_F2,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-107.89111747851003,-107.42693409742121,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-109.8202005730659,-109.92836676217765,-109.98638968481376,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-109.82951289398281,-109.98853868194843,-110.0,-109.87106017191977,-110.0,-110.0,-110.0,-109.98209169054441,-110.0,-109.743553008596,-110.0,-110.0,-110.0,-110.0,-110.0,-109.7743553008596,-110.0,-109.27220630372493,-110.0,-110.0,-109.68194842406876,-110.0
B1_F3,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-108.40717299578058,-108.32278481012658,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-109.82278481012658,-110.0,-109.77004219409282,-110.0,-109.71097046413502,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-109.83122362869199,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-109.915611814346,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-108.8175105485232,-110.0,-110.0,-109.81223628691983,-110.0
B2_F0,-110.0,-109.99073120494336,-104.8244078269825,-76.89031925849639,-110.0,-84.64315139031926,-85.2600411946447,-79.61843460350154,-103.96961894953657,-109.44232749742534,-109.08032955715757,-80.08805355303811,-106.83934088568486,-107.92842430484038,-107.14727085478887,-103.01132852729145,-108.51802265705459,-100.8918640576725,-103.57569515962925,-108.70494335736355,-100.7178166838311,-108.42996910401648,-87.5664263645726,-87.57466529351184,-97.08959835221421,-110.0,-110.0,-110.0,-103.55818743563337,-110.0,-110.0,-92.64830072090628,-96.69052523171987,-110.0,-110.0,-110.0,-110.0,-102.75283213182286,-110.0,-101.37435633367662,-110.0,-110.0,-101.65911431513904,-102.34654994850669,-107.30741503604531,-110.0,-110.0,-110.0,-110.0,-107.50205973223481
B2_F1,-109.14292321924144,-109.16049953746531,-101.61424606845513,-91.38297872340425,-109.8145235892692,-99.21415356151711,-98.69426456984274,-92.52867715078631,-89.76133209990749,-108.37927844588344,-108.09990749306198,-92.98519888991675,-102.76734505087882,-97.06891766882516,-103.67853839037927,-88.43061979648473,-97.2123034227567,-83.25115633672526,-89.91581868640148,-97.32099907493063,-83.82284921369103,-97.69981498612395,-101.5004625346901,-101.58510638297872,-88.09713228492137,-110.0,-110.0,-110.0,-90.31961147086031,-110.0,-110.0,-103.3913043478261,-89.75023126734506,-110.0,-110.0,-110.0,-110.0,-90.62395929694728,-110.0,-88.06429232192414,-110.0,-110.0,-88.25948196114709,-87.33163737280296,-106.72571692876966,-106.36586493987049,-110.0,-110.0,-110.0,-106.14708603145236
B2_F2,-106.35383639822447,-106.60114140773621,-100.19086873811034,-102.19150285351934,-108.142041851617,-108.84590995561192,-108.03233988585923,-102.37476220672163,-77.90298034242232,-104.40963855421687,-104.10462904248573,-102.65313887127458,-95.33988585922638,-79.4984147114775,-95.75332910589728,-80.2010145846544,-80.34559289790742,-97.73240329740013,-80.63855421686748,-81.13633481293596,-98.04629042485732,-81.4870006341154,-108.70133164235891,-108.29803424223209,-101.49461001902347,-110.0,-110.0,-110.0,-91.64933417882054,-110.0,-110.0,-108.73050095117311,-101.35890932149651,-110.0,-110.0,-110.0,-110.0,-92.2999365884591,-110.0,-99.74001268230818,-110.0,-110.0,-99.5567533291059,-100.81103360811667,-102.92707672796449,-98.78883956880152,-110.0,-110.0,-110.0,-102.7729866835764
B2_F3,-102.23846437799926,-102.24621631598376,-93.96271686969361,-107.93133997785161,-105.94278331487634,-109.32521225544481,-109.57253599114064,-108.03396087117018,-97.79254337393873,-96.08047249907715,-95.86231081579919,-108.38058324104836,-85.52307124400147,-104.02583979328165,-85.62236987818383,-97.5452196382429,-104.00184569952012,-106.32262827611665,-99.13067552602436,-99.72572905131045,-105.93835363602805,-99.25286083425618,-109.77777777777777,-109.80730897009967,-104.29568106312293,-110.0,-110.0,-110.0,-100.03839055001846,-110.0,-110.0,-108.85788113695091,-104.73089700996678,-110.0,-110.0,-110.0,-110.0,-100.14581026208933,-110.0,-108.49760059062385,-110.0,-110.0,-108.54152823920266,-108.31967515688446,-96.2218530823182,-88.7264673311185,-110.0,-110.0,-110.0,-96.00701365817645
B2_F4,-75.64791288566244,-77.67241379310344,-74.1070780399274,-108.26225045372051,-84.15698729582577,-109.82214156079854,-109.7459165154265,-108.58076225045372,-91.03357531760436,-80.95916515426497,-79.3502722323049,-107.36660617059891,-107.26406533575317,-100.64065335753176,-106.23049001814881,-96.61161524500908,-101.00453720508168,-109.5617059891107,-89.39473684210526,-106.00453720508168,-109.52540834845735,-105.62613430127041,-109.87658802177859,-110.0,-100.01633393829401,-110.0,-110.0,-110.0,-101.30036297640653,-110.0,-110.0,-109.13339382940109,-101.5644283121597,-110.0,-110.0,-110.0,-110.0,-104.09528130671507,-110.0,-109.66787658802178,-110.0,-110.0,-109.80036297640653,-109.23684210526316,-92.38203266787659,-92.2059891107078,-110.0,-110.0,-110.0,-91.86660617059891
