label,precision,recall,f1-score,support
B0_F0,0.7166666666666667,0.5512820512820513,0.6231884057971014,78.0
B0_F1,0.9101123595505618,0.7788461538461539,0.8393782383419689,208.0
B0_F2,0.7857142857142857,0.7333333333333333,0.7586206896551724,165.0
B0_F3,0.8333333333333334,0.7647058823529411,0.7975460122699386,85.0
B1_F0,0.5714285714285714,0.5333333333333333,0.5517241379310345,30.0
B1_F1,0.9642857142857143,0.3776223776223776,0.542713567839196,143.0
B1_F2,0.30714285714285716,0.9885057471264368,0.46866485013623976,87.0
B1_F3,0.8888888888888888,0.5106382978723404,0.6486486486486487,47.0
B2_F0,0.8947368421052632,0.7083333333333334,0.7906976744186046,24.0
B2_F1,0.8495575221238938,0.8648648648648649,0.8571428571428571,111.0
B2_F2,0.7647058823529411,0.48148148148148145,0.5909090909090909,54.0
B2_F3,0.5094339622641509,0.675,0.5806451612903226,40.0
B2_F4,0.8387096774193549,0.6666666666666666,0.7428571428571429,39.0
macro avg,0.7565166587135755,0.6642010402396396,0.6763643444028704,1111.0
weighted avg,0.7915123353923369,0.6867686768676867,0.7018984825487515,1111.0
