label,precision,recall,f1-score,support
B0_F0,0.7446808510638298,0.8974358974358975,0.813953488372093,78.0
B0_F1,0.9244186046511628,0.7644230769230769,0.8368421052631579,208.0
B0_F2,0.776536312849162,0.8424242424242424,0.8081395348837209,165.0
B0_F3,0.6477272727272727,0.6705882352941176,0.6589595375722543,85.0
B1_F0,0.875,0.7,0.7777777777777778,30.0
B1_F1,0.9587628865979382,0.6503496503496503,0.775,143.0
B1_F2,0.5736434108527132,0.8505747126436781,0.6851851851851852,87.0
B1_F3,0.7413793103448276,0.9148936170212766,0.819047619047619,47.0
B2_F0,0.9166666666666666,0.9166666666666666,0.9166666666666666,24.0
B2_F1,0.8813559322033898,0.9369369369369369,0.9082969432314411,111.0
B2_F2,0.8974358974358975,0.6481481481481481,0.7526881720430108,54.0
B2_F3,0.6229508196721312,0.95,0.7524752475247525,40.0
B2_F4,0.9642857142857143,0.6923076923076923,0.8059701492537313,39.0
macro avg,0.8096033599500542,0.8026729904731833,0.7931540328324164,1111.0
weighted avg,0.8213065757393263,0.7938793879387939,0.7958314709161084,1111.0
