label,precision,recall,f1-score,support
B0_F0,0.9864864864864865,0.9358974358974359,0.9605263157894737,78.0
B0_F1,0.9528301886792453,0.9711538461538461,0.9619047619047619,208.0
B0_F2,0.9298245614035088,0.9636363636363636,0.9464285714285714,165.0
B0_F3,0.987012987012987,0.8941176470588236,0.9382716049382716,85.0
B1_F0,0.65625,0.7,0.6774193548387096,30.0
B1_F1,0.9587628865979382,0.6503496503496503,0.775,143.0
B1_F2,0.8494623655913979,0.9080459770114943,0.8777777777777778,87.0
B1_F3,0.8148148148148148,0.9361702127659575,0.8712871287128713,47.0
B2_F0,0.44,0.9166666666666666,0.5945945945945946,24.0
B2_F1,0.9473684210526315,0.972972972972973,0.96,111.0
B2_F2,0.9565217391304348,0.8148148148148148,0.88,54.0
B2_F3,0.6363636363636364,0.875,0.7368421052631579,40.0
B2_F4,0.8611111111111112,0.7948717948717948,0.8266666666666667,39.0
macro avg,0.8443699383264764,0.8718228755538324,0.8466706832242198,1111.0
weighted avg,0.9071555751961561,0.8883888388838884,0.8905848250723369,1111.0
