label,precision,recall,f1-score,support
B0_F0,0.9178082191780822,0.8589743589743589,0.8874172185430463,78.0
B0_F1,0.9396984924623115,0.8990384615384616,0.918918918918919,208.0
B0_F2,0.8688524590163934,0.9636363636363636,0.9137931034482759,165.0
B0_F3,0.9868421052631579,0.8823529411764706,0.9316770186335404,85.0
B1_F0,0.4716981132075472,0.8333333333333334,0.6024096385542169,30.0
B1_F1,0.9504950495049505,0.6713286713286714,0.7868852459016393,143.0
B1_F2,0.7619047619047619,0.9195402298850575,0.8333333333333334,87.0
B1_F3,0.8113207547169812,0.9148936170212766,0.86,47.0
B2_F0,0.9565217391304348,0.9166666666666666,0.9361702127659575,24.0
B2_F1,0.9473684210526315,0.972972972972973,0.96,111.0
B2_F2,0.94,0.8703703703703703,0.9038461538461539,54.0
B2_F3,0.8780487804878049,0.9,0.8888888888888888,40.0
B2_F4,0.875,0.8974358974358975,0.8860759493670886,39.0
macro avg,0.8696583766096198,0.8846572218723001,0.8699550524770046,1111.0
weighted avg,0.8972992395512656,0.8820882088208821,0.8836969047253083,1111.0
