label,precision,recall,f1-score,support
B0_F0,0.5075757575757576,0.8589743589743589,0.638095238095238,78.0
B0_F1,0.7961783439490446,0.6009615384615384,0.684931506849315,208.0
B0_F2,0.7180851063829787,0.8181818181818182,0.7648725212464589,165.0
B0_F3,0.9230769230769231,0.5647058823529412,0.7007299270072993,85.0
B1_F0,0.5510204081632653,0.9,0.6835443037974683,30.0
B1_F1,0.9401709401709402,0.7692307692307693,0.8461538461538461,143.0
B1_F2,0.7045454545454546,0.7126436781609196,0.7085714285714285,87.0
B1_F3,0.7192982456140351,0.8723404255319149,0.7884615384615384,47.0
B2_F0,0.40384615384615385,0.875,0.5526315789473685,24.0
B2_F1,0.8854166666666666,0.7657657657657657,0.821256038647343,111.0
B2_F2,0.8333333333333334,0.6481481481481481,0.7291666666666666,54.0
B2_F3,0.6875,0.825,0.75,40.0
B2_F4,0.9090909090909091,0.7692307692307693,0.8333333333333334,39.0
macro avg,0.7368567878781125,0.7677063964645341,0.7309036867521003,1111.0
weighted avg,0.7778102768429794,0.7371737173717372,0.7421336684872141,1111.0
