label,precision,recall,f1-score,support
B0_F0,0.9367088607594937,0.9487179487179487,0.9426751592356688,78.0
B0_F1,0.9757281553398058,0.9663461538461539,0.9710144927536232,208.0
B0_F2,0.9640718562874252,0.9757575757575757,0.9698795180722891,165.0
B0_F3,1.0,0.9764705882352941,0.9880952380952381,85.0
B1_F0,0.9565217391304348,0.7333333333333333,0.8301886792452831,30.0
B1_F1,0.96,0.6713286713286714,0.7901234567901234,143.0
B1_F2,0.6086956521739131,0.9655172413793104,0.7466666666666667,87.0
B1_F3,0.9148936170212766,0.9148936170212766,0.9148936170212766,47.0
B2_F0,0.9166666666666666,0.9166666666666666,0.9166666666666666,24.0
B2_F1,0.9734513274336283,0.990990990990991,0.9821428571428571,111.0
B2_F2,0.9791666666666666,0.8703703703703703,0.9215686274509803,54.0
B2_F3,0.7090909090909091,0.975,0.8210526315789474,40.0
B2_F4,0.9642857142857143,0.6923076923076923,0.8059701492537313,39.0
macro avg,0.9122523972966101,0.8921308346119449,0.8923798276902578,1111.0
weighted avg,0.9279186806627369,0.9081908190819082,0.909476787975489,1111.0
