feature,f_score,p_value
WAP139,1858.2722664023731,0.0
WAP138,1828.5646098131099,0.0
WAP087,1616.4084869190326,0.0
WAP501,1604.5105129639287,0.0
WAP481,1504.7446455602742,0.0
WAP096,1468.0931487874254,0.0
WAP097,1374.1347662864982,0.0
WAP495,1351.6842963948955,0.0
WAP496,1295.0910877996423,0.0
WAP144,1286.6664710057921,0.0
WAP145,1239.6083950793882,0.0
WAP516,1232.7544035338758,0.0
WAP066,1206.5847927900732,0.0
WAP118,1184.3363081557795,0.0
WAP065,1172.3295058433696,0.0
WAP502,1169.1711755755216,0.0
WAP117,1160.1353022439914,0.0
WAP122,1141.4234196649452,0.0
WAP517,1127.4777301308236,0.0
WAP132,1122.4948870962198,0.0
WAP121,1083.5398422570424,0.0
WAP131,1071.1282706640966,0.0
WAP203,1044.3274984353627,0.0
WAP204,1024.1870526665793,0.0
WAP070,1023.8558912995749,0.0
WAP047,1007.58974094505,0.0
WAP052,1005.684241978542,0.0
WAP051,1005.3127750645689,0.0
WAP078,998.9983736781198,0.0
WAP156,976.5319008096342,0.0
